0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,trip_score
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.138022631256626,-0.45320225437967615,-1.3419387232465059,-1.1768546559322266,0.3859143337612062,0.9850077331786223,-1.3895172466885597,75.69923520264562
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.141499306505797,-0.3413105641230094,-1.1533313525006095,-0.9625516070731954,-0.43559634957640153,0.2747448739212377,0.16196039186477115,73.7211222255537
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0297064046572113,-0.4495425373898741,-1.0024430923162095,-1.1917112430317096,0.1354522265083307,-0.7196231290391009,0.26895884969603545,75.753117949295
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.8898369454281214,0.23713440168975738,-0.8970930294499795,-0.3670267957917419,1.9082146613796054,1.2691128768815763,-1.6570133912667202,66.27347362241412
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.4502731542095202,0.2289524918256646,-1.3633667034281027,-0.6473318012851899,1.1245860417130273,-1.21680713051927,0.2154596207804033,67.85327158018315
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.775117089495468,-0.5970997875410327,-0.8922216890194548,-1.0293481750007847,-0.7126406692973335,-0.29346541348467003,1.1784457412617806,75.94858890565553
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.2677492232483711,-0.5788023512179556,-1.3103506107174365,-1.2470615284255688,-0.1837402075383026,0.9850077331786223,0.7504519099367241,76.99585530266238
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.5422361965435207,-0.0019985557164760113,-0.5579583268044378,-0.592187106194315,1.1830645831878668,-0.435517985336147,-1.2825187888572953,69.23831245518171
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.6590912501693968,1.0718395771221179,-0.6291610920531538,0.9984761305548376,0.45424554111380583,-0.15141284163319313,0.322458078611667,52.78146677080301
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.8559149193099325,-1.2133816865338105,-0.7776052356327948,-0.784138896227407,-0.5212474918731315,-1.0037282727420547,0.5899542231898277,71.03306192916583
