trip_id,timestamp,speed,acceleration,rpm,fuel_rate,engine_temp,vehicle_type,road_type,weather,driver_id,driver_style,trip_score,driver_age,driver_gender,driver_safety_score
1,2025-01-07 18:20:00,40.87427920281733,0.3006822557817853,2625.6802315972886,8.398676759222724,81.9628987520123,sedan,suburban,rainy,driver_1,cautious,75.69923520264562,59,F,0.37
1,2025-01-07 18:20:10,40.81866899881249,0.4638654497725638,2716.584244881521,8.979775262791742,77.86103543198327,sedan,suburban,rainy,driver_1,cautious,73.7211222255537,49,M,0.66
1,2025-01-07 18:20:20,42.60682165401797,0.30601959858292,2789.3085946987767,8.3583920288952,80.71232301193328,sedan,suburban,rainy,driver_1,cautious,75.753117949295,35,M,0.68
1,2025-01-07 18:20:30,44.8440651709758,1.307471412402035,2840.0846777140523,10.594584657787856,89.56385635679604,sedan,suburban,rainy,driver_1,cautious,66.27347362241412,63,F,0.32
1,2025-01-07 18:20:40,35.879761729214586,1.29553888924947,2615.352483602188,9.834516986784752,85.65114096948518,sedan,suburban,rainy,driver_1,cautious,67.85327158018315,28,F,0.67
1,2025-01-07 18:20:50,46.67903511628239,0.0908216395483556,2842.432541392217,8.798651448301351,76.47773274811705,sedan,suburban,rainy,driver_1,cautious,75.94858890565553,41,F,0.85
1,2025-01-07 18:21:00,38.79927313279883,0.1175066783943453,2640.904908075256,8.208305652682945,79.11857169037121,sedan,suburban,rainy,driver_1,cautious,76.99585530266238,59,M,0.77
1,2025-01-07 18:21:10,50.40401747377288,0.9587191530653778,3003.5390824518654,9.9840458897457,85.94312863215306,sedan,suburban,rainy,driver_1,cautious,69.23831245518171,39,F,0.39
1,2025-01-07 18:21:20,48.5348945602421,2.5248080730176343,2969.2211388187734,14.297246432054411,82.3040815007432,sedan,suburban,rainy,driver_1,cautious,52.78146677080301,43,M,0.69
1,2025-01-07 18:21:30,45.38665562233867,-0.807965825773287,2897.6747917880925,9.463554470983864,77.43337297301417,sedan,suburban,rainy,driver_1,cautious,71.03306192916583,31,M,0.74
1,2025-01-07 18:21:40,44.804084388869256,0.1797592718028857,2765.969191936752,8.201907266980728,84.65292200385551,sedan,suburban,rainy,driver_1,cautious,76.69738910702412,31,M,0.32
1,2025-01-07 18:21:50,48.04995334353004,0.9587522073687692,2950.1787034891413,10.651144338723572,81.20561081293565,sedan,suburban,rainy,driver_1,cautious,67.90395028570902,44,F,0.86
1,2025-01-07 18:22:00,44.243077103554114,1.3318149164036193,2815.004928735272,10.49094980115189,86.06086171066563,sedan,suburban,rainy,driver_1,cautious,66.35902581567812,56,M,0.89
1,2025-01-07 18:22:10,50.55073562044376,-0.8593242295552438,3048.419715774557,9.22397372922272,85.34740443098465,sedan,suburban,rainy,driver_1,cautious,71.25543139377834,60,M,0.85
1,2025-01-07 18:22:20,40.79806721589578,1.0273665501231508,2693.198228506008,10.261082681285556,73.09641487863874,sedan,suburban,rainy,driver_1,cautious,68.34100188681313,44,M,0.84
1,2025-01-07 18:22:30,43.736371688129616,0.3521461890706647,2860.1498389648063,9.788251384052105,82.90344770865013,sedan,suburban,rainy,driver_1,cautious,72.66276628654248,23,F,0.78
1,2025-01-07 18:22:40,46.33942701828756,-0.4224926164700305,2819.2529873978488,9.257125076337024,80.67876914738243,sedan,suburban,rainy,driver_1,cautious,73.3732867649758,42,F,0.71
1,2025-01-07 18:22:50,47.73640347900432,0.9639850490661768,2950.1382732496863,9.581306329492808,84.46314735753081,sedan,suburban,rainy,driver_1,cautious,70.0174620956835,22,M,0.74
1,2025-01-07 18:23:00,44.52634289699469,-0.3642771557741637,2815.0520551895675,8.255501015595133,78.2795972934434,sedan,suburban,rainy,driver_1,cautious,75.66761218993892,44,F,0.82
1,2025-01-07 18:23:10,48.3785364851524,0.1378998533775979,2908.276191842156,8.565634131744645,82.30477807710147,sedan,suburban,rainy,driver_1,cautious,76.17923246962272,64,F,0.73
1,2025-01-07 18:23:20,38.92774512045146,-0.4152582282944561,2674.182965582134,8.152181851211521,89.72557807243393,sedan,suburban,rainy,driver_1,cautious,75.61934515610469,50,F,0.51
1,2025-01-07 18:23:30,44.30998594117737,-0.3255897803239043,2788.4318704791795,8.625117518331031,77.15085825800799,sedan,suburban,rainy,driver_1,cautious,75.12181606171842,58,M,0.54
1,2025-01-07 18:23:40,35.587801486407315,1.4109924246131096,2566.8598775916307,10.587686700754006,84.08936756108282,sedan,suburban,rainy,driver_1,cautious,65.76966447542644,22,F,0.88
1,2025-01-07 18:23:50,40.25427988739923,-0.2066616964145936,2730.4991790579343,8.393848361798666,81.72451167522364,sedan,suburban,rainy,driver_1,cautious,76.1789947943297,41,M,0.31
1,2025-01-07 18:24:00,44.6396069909138,0.2068958946846299,2910.86398409191,9.178668993189602,67.50620429180644,sedan,suburban,rainy,driver_1,cautious,74.60818254019765,53,F,0.75
1,2025-01-07 18:24:10,51.66147852527474,2.126982818690483,3111.433274594048,12.729877322016604,76.55402894767877,sedan,suburban,rainy,driver_1,cautious,57.90533126251437,32,M,0.92
1,2025-01-07 18:24:20,48.2752490137464,-0.0952554882839679,2966.065461931861,8.593332990085873,86.09025218878256,sedan,suburban,rainy,driver_1,cautious,76.33705657840841,42,M,0.76
1,2025-01-07 18:24:30,43.24743889063433,0.0457581240754862,2816.3344974560723,9.220808093146749,80.40485402972284,sedan,suburban,rainy,driver_1,cautious,75.32959319332907,64,M,0.95
1,2025-01-07 18:24:40,43.125946364018816,1.08600260127049,2829.6848049118003,9.852566645417902,77.31919949910488,sedan,suburban,rainy,driver_1,cautious,68.86485370281174,45,F,0.75
1,2025-01-07 18:24:50,49.93437985422697,0.742410272791542,2874.546452373429,10.22252910779588,84.63228179310161,sedan,suburban,rainy,driver_1,cautious,69.84289042045053,69,M,0.32
1,2025-01-07 18:25:00,41.23088373706599,0.9417488524656796,2830.542467978016,10.143228861816882,76.87191852383535,sedan,suburban,rainy,driver_1,cautious,69.00479801403785,47,F,0.84
1,2025-01-07 18:25:10,42.64892334210337,0.4104271198132407,2798.356179861756,8.984712706598241,82.50798182673086,sedan,suburban,rainy,driver_1,cautious,73.97843898773732,62,M,0.49
1,2025-01-07 18:25:20,44.33874573185832,0.5444983789921759,2878.4029010721715,8.773518468145765,80.54355899813693,sedan,suburban,rainy,driver_1,cautious,73.73047116874758,48,F,0.59
1,2025-01-07 18:25:30,45.47593641162492,1.136533372570457,2852.9419695712795,10.873387721247042,85.51343732731355,sedan,suburban,rainy,driver_1,cautious,66.57055769465363,36,F,0.5
1,2025-01-07 18:25:40,36.67588678276096,1.334904994760427,2551.007513626545,9.956634124124664,65.60271553263811,sedan,suburban,rainy,driver_1,cautious,67.41220677794854,35,F,0.47
